Ticket_ID,Airline_ID,Airline_Name,Flight_Number,Departure_Airport,Departure_City,Departure_Country,Departure_Date,Departure_Time,Arrival_Airport,Arrival_City,Arrival_Country,Arrival_Date,Arrival_Time,Duration,Ticket_Price,Seat_Class,Booking_Status,Seat,Available_Seats
45,4,Southwest,SO824,ATL,Atlanta,USA,2025-03-09,1219,MAD,Madrid,Spain,2025-03-09,2005,7h 46m,1033,Economy,Available,C3,1
46,3,American Airlines,AM132,SFO,San Francisco,USA,2025-03-11,0509,NRT,Tokyo,Japan,2025-03-11,2029,15h 20m,1197,Economy,Available,D3,1
47,5,United,UN770,JFK,New York,USA,2025-03-11,0344,AMS,Amsterdam,Netherlands,2025-03-11,1344,10h 0m,1471,Business,Available,E3,1
48,1,JetBlue,JE116,SFO,San Francisco,USA,2025-03-11,2036,AMS,Amsterdam,Netherlands,2025-03-11,0253,6h 17m,1396,Business,Available,F3,1
49,5,United,UN280,ORD,Chicago,USA,2025-03-20,1159,NRT,Tokyo,Japan,2025-03-20,1749,5h 50m,1340,Economy,Available,A4,1
50,3,American Airlines,AM991,ORD,Chicago,USA,2025-03-26,2211,YYZ,Toronto,Canada,2025-03-26,0918,11h 7m,670,Economy,Available,B4,1
51,3,American Airlines,AM205,JFK,New York,USA,2025-03-15,0837,CDG,Paris,France,2025-03-15,1525,6h 48m,638,Business,Available,C4,1
52,3,American Airlines,AM186,BOS,Boston,USA,2025-03-19,1228,LHR,London,UK,2025-03-19,0111,12h 43m,1423,First Class,Available,D4,1
53,4,Southwest,SO388,MIA,Miami,USA,2025-03-06,2054,YYZ,Toronto,Canada,2025-03-06,0833,11h 39m,1338,Business,Available,E4,1
54,2,Delta,DE970,SFO,San Francisco,USA,2025-02-27,1348,NRT,Tokyo,Japan,2025-02-27,2155,8h 7m,620,Business,Available,F4,1
55,5,United,UN589,MIA,Miami,USA,2025-03-14,2319,AMS,Amsterdam,Netherlands,2025-03-14,1346,14h 27m,1299,First Class,Available,A5,1
56,4,Southwest,SO827,ORD,Chicago,USA,2025-03-20,0621,SYD,Sydney,Australia,2025-03-20,1330,7h 9m,705,Economy,Available,B5,1
57,4,Southwest,SO281,DFW,Dallas,USA,2025-03-01,1338,NRT,Tokyo,Japan,2025-03-01,2136,7h 58m,1802,Business,Available,C5,1
58,4,Southwest,SO190,SFO,San Francisco,USA,2025-03-06,2036,CDG,Paris,France,2025-03-06,0638,10h 2m,1047,Business,Available,D5,1
59,5,United,UN489,DFW,Dallas,USA,2025-03-20,2103,YYZ,Toronto,Canada,2025-03-20,0403,7h 0m,408,Economy,Available,E5,1
60,3,American Airlines,AM390,ORD,Chicago,USA,2025-03-25,2325,YYZ,Toronto,Canada,2025-03-25,0838,9h 13m,1201,First Class,Available,F5,1
61,3,American Airlines,AM732,MIA,Miami,USA,2025-03-26,1835,YYZ,Toronto,Canada,2025-03-26,0204,7h 29m,951,First Class,Available,A1,1
62,1,JetBlue,JE966,JFK,New York,USA,2025-03-13,2344,CDG,Paris,France,2025-03-13,1150,12h 6m,1660,Economy,Available,B1,1
63,3,American Airlines,AM594,MIA,Miami,USA,2025-03-17,1610,CDG,Paris,France,2025-03-17,0255,10h 45m,1000,Economy,Available,C1,1
64,2,Delta,DE587,DFW,Dallas,USA,2025-03-24,1652,SIN,Singapore,Singapore,2025-03-24,0415,11h 23m,1136,Economy,Available,D1,1
65,1,JetBlue,JE988,BOS,Boston,USA,2025-03-17,1921,DXB,Dubai,UAE,2025-03-17,0517,9h 56m,1158,First Class,Available,E1,1
66,3,American Airlines,AM142,DEN,Denver,USA,2025-03-15,1631,YYZ,Toronto,Canada,2025-03-15,0826,15h 55m,1240,First Class,Available,F1,1
67,4,Southwest,SO818,BOS,Boston,USA,2025-03-25,1534,FRA,Frankfurt,Germany,2025-03-25,0019,8h 45m,1093,Business,Available,A2,1
68,1,JetBlue,JE111,DEN,Denver,USA,2025-03-01,1055,SIN,Singapore,Singapore,2025-03-01,1816,7h 21m,528,Business,Available,B2,1
69,4,Southwest,SO154,MIA,Miami,USA,2025-03-08,0247,DXB,Dubai,UAE,2025-03-08,1330,10h 43m,881,Business,Available,C2,1
70,3,American Airlines,AM403,LAX,Los Angeles,USA,2025-03-04,0717,FRA,Frankfurt,Germany,2025-03-04,1427,7h 10m,1207,Economy,Available,D2,1
71,3,American Airlines,AM249,ORD,Chicago,USA,2025-02-26,0810,NRT,Tokyo,Japan,2025-02-26,1343,5h 33m,950,Economy,Available,E2,1
72,4,Southwest,SO226,JFK,New York,USA,2025-03-26,0748,NRT,Tokyo,Japan,2025-03-26,2257,15h 9m,1988,Economy,Available,F2,1
73,4,Southwest,SO382,JFK,New York,USA,2025-03-04,1703,MAD,Madrid,Spain,2025-03-04,0021,7h 18m,909,Economy,Available,A3,1
74,4,Southwest,SO212,JFK,New York,USA,2025-03-02,1357,MAD,Madrid,Spain,2025-03-02,2345,9h 48m,1585,Economy,Available,B3,1
75,4,Southwest,SO879,SFO,San Francisco,USA,2025-02-27,1341,CDG,Paris,France,2025-02-27,0443,15h 2m,1231,Business,Available,C3,1
76,1,JetBlue,JE134,MIA,Miami,USA,2025-03-09,1935,SIN,Singapore,Singapore,2025-03-09,0333,7h 58m,1823,Business,Available,D3,1
77,4,Southwest,SO369,MIA,Miami,USA,2025-03-22,2057,AMS,Amsterdam,Netherlands,2025-03-22,0215,5h 18m,437,First Class,Available,E3,1
78,4,Southwest,SO594,SFO,San Francisco,USA,2025-03-15,2301,MAD,Madrid,Spain,2025-03-15,0531,6h 30m,1511,First Class,Available,F3,1
79,4,Southwest,SO415,MIA,Miami,USA,2025-02-27,1122,DXB,Dubai,UAE,2025-02-27,2004,8h 42m,1927,Business,Available,A4,1
80,2,Delta,DE135,MIA,Miami,USA,2025-03-09,2032,MAD,Madrid,Spain,2025-03-09,1131,14h 59m,251,Business,Available,B4,1
81,3,American Airlines,AM261,SFO,San Francisco,USA,2025-03-03,0634,YYZ,Toronto,Canada,2025-03-03,1508,8h 34m,270,First Class,Available,C4,1
82,3,American Airlines,AM190,SEA,Seattle,USA,2025-03-05,1836,SIN,Singapore,Singapore,2025-03-05,0558,11h 22m,298,Economy,Available,D4,1
83,4,Southwest,SO198,DFW,Dallas,USA,2025-03-01,0134,AMS,Amsterdam,Netherlands,2025-03-01,0716,5h 42m,1581,Economy,Available,E4,1
84,3,American Airlines,AM385,ATL,Atlanta,USA,2025-02-28,2154,FRA,Frankfurt,Germany,2025-02-28,0451,6h 57m,1566,First Class,Available,F4,1
85,1,JetBlue,JE492,ATL,Atlanta,USA,2025-03-13,0610,SYD,Sydney,Australia,2025-03-13,1842,12h 32m,1156,First Class,Available,A5,1
86,1,JetBlue,JE158,JFK,New York,USA,2025-03-10,0736,AMS,Amsterdam,Netherlands,2025-03-10,1929,11h 53m,665,Economy,Available,B5,1
87,2,Delta,DE889,SEA,Seattle,USA,2025-03-01,1511,CDG,Paris,France,2025-03-01,0517,14h 6m,1711,Economy,Available,C5,1
88,4,Southwest,SO488,SFO,San Francisco,USA,2025-03-21,0216,SYD,Sydney,Australia,2025-03-21,1520,13h 4m,579,Business,Available,D5,1
89,5,United,UN604,LAX,Los Angeles,USA,2025-03-23,1047,SYD,Sydney,Australia,2025-03-23,0132,14h 45m,975,Economy,Available,E5,1
90,4,Southwest,SO532,SFO,San Francisco,USA,2025-03-10,1851,LHR,London,UK,2025-03-10,0451,10h 0m,685,First Class,Available,F5,1
91,5,United,UN715,LAX,Los Angeles,USA,2025-03-20,1523,NRT,Tokyo,Japan,2025-03-20,0042,9h 19m,1201,Business,Available,A1,1
92,5,United,UN944,DEN,Denver,USA,2025-03-12,1655,YYZ,Toronto,Canada,2025-03-12,0232,9h 37m,1016,Business,Available,B1,1
93,5,United,UN879,SFO,San Francisco,USA,2025-03-18,1148,AMS,Amsterdam,Netherlands,2025-03-18,2316,11h 28m,241,Business,Available,C1,1
94,4,Southwest,SO204,LAX,Los Angeles,USA,2025-03-09,0953,YYZ,Toronto,Canada,2025-03-09,2253,13h 0m,1954,Economy,Available,D1,1
95,2,Delta,DE218,ORD,Chicago,USA,2025-03-17,0013,CDG,Paris,France,2025-03-17,0723,7h 10m,1562,Business,Available,E1,1
96,3,American Airlines,AM834,LAX,Los Angeles,USA,2025-03-18,0339,DXB,Dubai,UAE,2025-03-18,1604,12h 25m,1726,First Class,Available,F1,2
97,4,Southwest,SO467,SEA,Seattle,USA,2025-03-06,1215,CDG,Paris,France,2025-03-06,1959,7h 44m,407,Business,Available,A2,1
98,2,Delta,DE780,ORD,Chicago,USA,2025-03-18,0450,MAD,Madrid,Spain,2025-03-18,1725,12h 35m,1601,Economy,Available,B2,1
99,5,United,UN206,SFO,San Francisco,USA,2025-03-17,1858,DXB,Dubai,UAE,2025-03-17,1002,15h 4m,1922,Business,Available,C2,1
100,3,American Airlines,AM222,DFW,Dallas,USA,2025-03-23,0012,FRA,Frankfurt,Germany,2025-03-23,0707,6h 55m,1220,Economy,Available,D2,1
101,4,Southwest,SO425,BOS,Boston,USA,2025-03-03,1316,AMS,Amsterdam,Netherlands,2025-03-03,2222,9h 6m,1022,Business,Available,A1,1
102,2,Delta,DE524,ORD,Chicago,USA,2025-03-22,0320,MAD,Madrid,Spain,2025-03-22,0935,6h 15m,376,Economy,Available,B1,1
103,1,JetBlue,JE124,DEN,Denver,USA,2025-03-05,0749,DXB,Dubai,UAE,2025-03-05,1919,11h 30m,980,First Class,Available,C1,1
104,5,United,UN975,BOS,Boston,USA,2025-03-03,1524,SYD,Sydney,Australia,2025-03-03,2057,5h 33m,1708,Business,Available,D1,1
105,5,United,UN338,BOS,Boston,USA,2025-03-11,2221,SYD,Sydney,Australia,2025-03-12,1257,14h 36m,1233,Economy,Available,E1,1
106,4,Southwest,SO349,MIA,Miami,USA,2025-03-25,1117,NRT,Tokyo,Japan,2025-03-26,0129,14h 12m,1800,Business,Available,F1,1
107,5,United,UN964,SFO,San Francisco,USA,2025-03-11,0702,YYZ,Toronto,Canada,2025-03-11,1943,12h 41m,1338,First Class,Available,A2,1
108,1,JetBlue,JE172,DEN,Denver,USA,2025-03-01,0340,SYD,Sydney,Australia,2025-03-01,1402,10h 22m,302,Economy,Available,B2,1
109,3,American Airlines,AM371,ATL,Atlanta,USA,2025-03-17,1023,DXB,Dubai,UAE,2025-03-17,2335,13h 12m,249,Economy,Available,C2,1
110,3,American Airlines,AM404,ATL,Atlanta,USA,2025-03-22,0722,YYZ,Toronto,Canada,2025-03-22,1233,5h 11m,1426,Economy,Available,D2,1
111,2,Delta,DE252,LAX,Los Angeles,USA,2025-03-24,0228,NRT,Tokyo,Japan,2025-03-24,1615,13h 47m,602,First Class,Available,E2,1
112,1,JetBlue,JE319,BOS,Boston,USA,2025-03-17,2110,MAD,Madrid,Spain,2025-03-18,0700,9h 50m,1797,Economy,Available,F2,1
113,2,Delta,DE249,MIA,Miami,USA,2025-03-12,0234,SIN,Singapore,Singapore,2025-03-12,1825,15h 51m,1726,Economy,Available,A3,1
114,2,Delta,DE200,JFK,New York,USA,2025-03-06,2305,CDG,Paris,France,2025-03-07,0841,9h 36m,1035,First Class,Available,B3,1
115,5,United,UN203,SFO,San Francisco,USA,2025-03-10,0710,SIN,Singapore,Singapore,2025-03-10,1317,6h 7m,1517,Economy,Available,C3,1
116,2,Delta,DE442,SFO,San Francisco,USA,2025-03-17,1807,FRA,Frankfurt,Germany,2025-03-17,2309,5h 2m,1588,Economy,Available,D3,1
117,2,Delta,DE730,ATL,Atlanta,USA,2025-03-26,0537,FRA,Frankfurt,Germany,2025-03-26,1336,7h 59m,562,First Class,Available,E3,1
118,2,Delta,DE107,MIA,Miami,USA,2025-03-19,1024,CDG,Paris,France,2025-03-20,0031,14h 7m,450,First Class,Available,F3,1
119,1,JetBlue,JE823,DFW,Dallas,USA,2025-03-05,0541,SYD,Sydney,Australia,2025-03-05,1049,5h 8m,1314,Business,Available,A4,1
120,3,American Airlines,AM118,DEN,Denver,USA,2025-03-25,1221,NRT,Tokyo,Japan,2025-03-25,2056,8h 35m,462,Business,Available,B4,1
121,2,Delta,DE286,JFK,New York,USA,2025-03-24,0433,YYZ,Toronto,Canada,2025-03-24,1556,11h 23m,1674,Economy,Available,C4,1
122,1,JetBlue,JE484,DEN,Denver,USA,2025-03-06,0811,SIN,Singapore,Singapore,2025-03-06,2120,13h 9m,513,Business,Available,D4,1
123,2,Delta,DE110,JFK,New York,USA,2025-03-05,0611,LHR,London,UK,2025-03-05,2149,15h 38m,1847,Business,Available,E4,1
124,4,Southwest,SO919,JFK,New York,USA,2025-03-08,0942,FRA,Frankfurt,Germany,2025-03-08,2003,10h 21m,1453,Business,Available,F4,1
125,1,JetBlue,JE290,BOS,Boston,USA,2025-02-28,1654,SYD,Sydney,Australia,2025-03-01,0132,8h 38m,214,Economy,Available,A5,1
126,4,Southwest,SO625,ATL,Atlanta,USA,2025-03-03,0544,LHR,London,UK,2025-03-03,1213,6h 29m,1163,Business,Available,B5,1
127,4,Southwest,SO559,DEN,Denver,USA,2025-03-26,1242,LHR,London,UK,2025-03-27,0225,13h 43m,1579,Business,Available,C5,1
128,2,Delta,DE733,SEA,Seattle,USA,2025-03-01,1138,SYD,Sydney,Australia,2025-03-01,1920,7h 42m,1274,First Class,Available,D5,1
129,1,JetBlue,JE504,BOS,Boston,USA,2025-03-05,1701,FRA,Frankfurt,Germany,2025-03-05,2325,6h 24m,1096,Business,Available,E5,1
130,2,Delta,DE192,SEA,Seattle,USA,2025-03-09,1549,NRT,Tokyo,Japan,2025-03-09,2146,5h 57m,993,Business,Available,F5,2
131,1,JetBlue,JE705,ATL,Atlanta,USA,2025-03-01,0747,MAD,Madrid,Spain,2025-03-01,1547,8h 0m,231,Business,Available,A1,1
132,3,American Airlines,AM794,ATL,Atlanta,USA,2025-02-26,1355,DXB,Dubai,UAE,2025-02-27,0307,13h 12m,965,First Class,Available,B1,1
133,2,Delta,DE538,BOS,Boston,USA,2025-03-20,2141,LHR,London,UK,2025-03-21,1333,15h 52m,909,Business,Available,C1,1
134,2,Delta,DE914,SEA,Seattle,USA,2025-03-03,2205,NRT,Tokyo,Japan,2025-03-04,0657,8h 52m,761,First Class,Available,D1,1
135,3,American Airlines,AM680,MIA,Miami,USA,2025-03-16,0613,DXB,Dubai,UAE,2025-03-16,1833,12h 20m,210,Economy,Available,E1,1
136,1,JetBlue,JE599,JFK,New York,USA,2025-03-18,0631,SYD,Sydney,Australia,2025-03-18,1601,9h 30m,1670,First Class,Available,F1,1
137,3,American Airlines,AM348,DEN,Denver,USA,2025-03-04,0714,LHR,London,UK,2025-03-04,1444,7h 30m,1893,Economy,Available,A2,1
138,2,Delta,DE374,LAX,Los Angeles,USA,2025-03-09,1237,LHR,London,UK,2025-03-10,0118,12h 41m,1221,First Class,Available,B2,2
139,4,Southwest,SO221,DEN,Denver,USA,2025-02-26,0431,CDG,Paris,France,2025-02-26,1447,10h 16m,655,Economy,Available,C2,1
140,4,Southwest,SO613,ORD,Chicago,USA,2025-03-14,0439,NRT,Tokyo,Japan,2025-03-14,1145,7h 6m,928,First Class,Available,D2,1
141,3,American Airlines,AM149,DFW,Dallas,USA,2025-03-01,0703,NRT,Tokyo,Japan,2025-03-01,1929,12h 26m,1561,First Class,Available,E2,1
142,2,Delta,DE192,ORD,Chicago,USA,2025-03-25,0409,NRT,Tokyo,Japan,2025-03-25,1427,10h 18m,1787,Business,Available,F2,2
143,2,Delta,DE463,LAX,Los Angeles,USA,2025-03-03,0002,NRT,Tokyo,Japan,2025-03-03,1346,13h 44m,209,Economy,Available,A3,1
144,5,United,UN727,BOS,Boston,USA,2025-02-28,1355,FRA,Frankfurt,Germany,2025-02-28,2012,6h 17m,991,Business,Available,B3,1
145,1,JetBlue,JE939,MIA,Miami,USA,2025-03-18,0205,CDG,Paris,France,2025-03-18,1037,8h 32m,208,Business,Available,C3,1
146,3,American Airlines,AM666,DEN,Denver,USA,2025-03-16,1237,LHR,London,UK,2025-03-17,0415,15h 38m,1115,Business,Available,D3,1
147,4,Southwest,SO478,ORD,Chicago,USA,2025-03-10,2003,SYD,Sydney,Australia,2025-03-11,1045,14h 42m,250,First Class,Available,E3,2
148,5,United,UN453,BOS,Boston,USA,2025-03-13,0929,LHR,London,UK,2025-03-13,1542,6h 13m,441,Economy,Available,F3,1
149,3,American Airlines,AM694,LAX,Los Angeles,USA,2025-03-26,2243,YYZ,Toronto,Canada,2025-03-27,1436,15h 53m,269,First Class,Available,A4,1
150,5,United,UN138,JFK,New York,USA,2025-03-26,1316,MAD,Madrid,Spain,2025-03-26,2157,8h 41m,1188,Business,Available,B4,1
151,4,Southwest,SO879,JFK,New York,USA,2025-03-24,0405,LHR,London,UK,2025-03-24,1042,6h 37m,392,First Class,Available,C4,1
152,1,JetBlue,JE510,MIA,Miami,USA,2025-03-13,0553,YYZ,Toronto,Canada,2025-03-13,1807,12h 14m,1760,Economy,Available,D4,1
153,5,United,UN763,DEN,Denver,USA,2025-03-07,1541,NRT,Tokyo,Japan,2025-03-08,0119,9h 38m,364,First Class,Available,E4,1
154,5,United,UN254,DFW,Dallas,USA,2025-03-02,0243,CDG,Paris,France,2025-03-02,1710,14h 27m,1485,First Class,Available,F4,1
155,1,JetBlue,JE974,ATL,Atlanta,USA,2025-03-17,0649,FRA,Frankfurt,Germany,2025-03-17,1805,11h 16m,448,Economy,Available,A5,1
156,4,Southwest,SO710,DEN,Denver,USA,2025-03-19,2058,MAD,Madrid,Spain,2025-03-20,1142,14h 44m,1333,Economy,Available,B5,1
157,3,American Airlines,AM234,ORD,Chicago,USA,2025-02-26,1557,MAD,Madrid,Spain,2025-02-27,0440,12h 43m,1775,Economy,Available,C5,1
158,4,Southwest,SO412,DFW,Dallas,USA,2025-03-11,1715,MAD,Madrid,Spain,2025-03-12,0835,15h 20m,1415,First Class,Available,D5,2
159,3,American Airlines,AM920,ATL,Atlanta,USA,2025-03-02,0643,CDG,Paris,France,2025-03-02,1241,5h 58m,1028,Business,Available,E5,1
160,3,American Airlines,AM354,BOS,Boston,USA,2025-03-07,0800,CDG,Paris,France,2025-03-07,1717,9h 17m,1333,First Class,Available,F5,1
161,3,American Airlines,AM322,DEN,Denver,USA,2025-03-11,2101,DXB,Dubai,UAE,2025-03-12,0252,5h 51m,954,Economy,Available,A1,1
162,1,JetBlue,JE435,SEA,Seattle,USA,2025-03-03,2102,DXB,Dubai,UAE,2025-03-04,1106,14h 4m,1373,Economy,Available,B1,1
163,5,United,UN530,SFO,San Francisco,USA,2025-03-20,2253,SIN,Singapore,Singapore,2025-03-21,0902,10h 9m,1781,Business,Available,C1,1
164,4,Southwest,SO488,DFW,Dallas,USA,2025-03-13,0844,NRT,Tokyo,Japan,2025-03-13,1602,7h 18m,673,Business,Available,D1,1
165,1,JetBlue,JE419,SEA,Seattle,USA,2025-03-05,0320,DXB,Dubai,UAE,2025-03-05,1542,12h 22m,1001,First Class,Available,E1,1
166,5,United,UN598,DFW,Dallas,USA,2025-03-13,1550,FRA,Frankfurt,Germany,2025-03-13,2333,7h 43m,1918,Business,Available,F1,1
167,4,Southwest,SO325,LAX,Los Angeles,USA,2025-03-16,0632,SYD,Sydney,Australia,2025-03-16,2142,15h 10m,298,Business,Available,A2,1
168,1,JetBlue,JE629,MIA,Miami,USA,2025-03-07,1115,DXB,Dubai,UAE,2025-03-07,1906,7h 51m,970,First Class,Available,B2,1
169,1,JetBlue,JE762,DFW,Dallas,USA,2025-03-07,1428,CDG,Paris,France,2025-03-08,0226,11h 58m,1386,Economy,Available,C2,1
170,2,Delta,DE285,JFK,New York,USA,2025-03-17,1506,YYZ,Toronto,Canada,2025-03-18,0039,9h 33m,830,Business,Available,D2,1
171,3,American Airlines,AM944,SFO,San Francisco,USA,2025-03-21,0139,SYD,Sydney,Australia,2025-03-21,1010,8h 31m,1998,Business,Available,E2,1
172,4,Southwest,SO383,BOS,Boston,USA,2025-03-22,2034,FRA,Frankfurt,Germany,2025-03-23,0358,7h 24m,985,Economy,Available,F2,1
173,4,Southwest,SO153,DFW,Dallas,USA,2025-02-27,0952,NRT,Tokyo,Japan,2025-02-27,1709,7h 17m,1025,Economy,Available,A3,1
174,2,Delta,DE210,ORD,Chicago,USA,2025-03-22,2013,FRA,Frankfurt,Germany,2025-03-23,0222,6h 9m,1604,First Class,Available,B3,1
175,2,Delta,DE374,JFK,New York,USA,2025-03-15,0631,CDG,Paris,France,2025-03-15,1253,6h 22m,373,First Class,Available,C3,2
176,4,Southwest,SO294,DEN,Denver,USA,2025-03-03,1144,SYD,Sydney,Australia,2025-03-04,0125,13h 41m,1695,Economy,Available,D3,1
